Species1,Species3,Match.type
Abeillia abeillei,Abeillia abeillei,1BL to 1BT
Abroscopus albogularis,Abroscopus albogularis,1BL to 1BT
Abroscopus schisticeps,Abroscopus schisticeps,1BL to 1BT
Abroscopus superciliaris,Abroscopus superciliaris,1BL to 1BT
Aburria aburri,Aburria aburri,1BL to 1BT
Acanthagenys rufogularis,Acanthagenys rufogularis,1BL to 1BT
Acanthidops bairdi,Acanthidops bairdii,1BL to 1BT
Acanthisitta chloris,Acanthisitta chloris,1BL to 1BT
Acanthiza apicalis,Acanthiza apicalis,1BL to 1BT
Acanthiza chrysorrhoa,Acanthiza chrysorrhoa,1BL to 1BT
Acanthiza cinerea,Gerygone cinerea,1BL to 1BT
Acanthiza ewingii,Acanthiza ewingii,1BL to 1BT
Acanthiza inornata,Acanthiza inornata,1BL to 1BT
Acanthiza iredalei,Acanthiza iredalei,1BL to 1BT
Acanthiza katherina,Acanthiza katherina,1BL to 1BT
Acanthiza lineata,Acanthiza lineata,1BL to 1BT
Acanthiza murina,Acanthiza murina,1BL to 1BT
Acanthiza nana,Acanthiza nana,1BL to 1BT
Acanthiza pusilla,Acanthiza pusilla,1BL to 1BT
Acanthiza reguloides,Acanthiza reguloides,1BL to 1BT
Acanthiza robustirostris,Acanthiza robustirostris,1BL to 1BT
Acanthiza uropygialis,Acanthiza uropygialis,1BL to 1BT
Acanthoptila nipalensis,Turdoides nipalensis,1BL to 1BT
Acanthorhynchus superciliosus,Acanthorhynchus superciliosus,1BL to 1BT
Acanthorhynchus tenuirostris,Acanthorhynchus tenuirostris,1BL to 1BT
Acanthornis magna,Acanthornis magna,1BL to 1BT
Accipiter albogularis,Accipiter albogularis,1BL to 1BT
Accipiter badius,Accipiter badius,1BL to 1BT
Accipiter brachyurus,Accipiter brachyurus,1BL to 1BT
Accipiter brevipes,Accipiter brevipes,1BL to 1BT
Accipiter butleri,Accipiter butleri,1BL to 1BT
Accipiter castanilius,Accipiter castanilius,1BL to 1BT
Accipiter cirrocephalus,Accipiter cirrocephalus,1BL to 1BT
Accipiter collaris,Accipiter collaris,1BL to 1BT
Accipiter cooperii,Accipiter cooperii,1BL to 1BT
Accipiter erythrauchen,Accipiter erythrauchen,1BL to 1BT
Accipiter erythropus,Accipiter erythropus,1BL to 1BT
Accipiter fasciatus,Accipiter fasciatus,1BL to 1BT
Accipiter francesiae,Accipiter francesiae,1BL to 1BT
Accipiter gentilis,Accipiter gentilis,1BL to 1BT
Accipiter griseiceps,Accipiter griseiceps,1BL to 1BT
Accipiter gularis,Accipiter gularis,1BL to 1BT
Accipiter gundlachi,Accipiter gundlachi,1BL to 1BT
Accipiter haplochrous,Accipiter haplochrous,1BL to 1BT
Accipiter henicogrammus,Accipiter henicogrammus,1BL to 1BT
Accipiter henstii,Accipiter henstii,1BL to 1BT
Accipiter hiogaster,Accipiter novaehollandiae,Many BL to 1BT
Accipiter imitator,Accipiter imitator,1BL to 1BT
Accipiter luteoschistaceus,Accipiter luteoschistaceus,1BL to 1BT
Accipiter madagascariensis,Accipiter madagascariensis,1BL to 1BT
Accipiter melanochlamys,Accipiter melanochlamys,1BL to 1BT
Accipiter melanoleucus,Accipiter melanoleucus,1BL to 1BT
Accipiter meyerianus,Accipiter meyerianus,1BL to 1BT
Accipiter minullus,Accipiter minullus,1BL to 1BT
Accipiter nanus,Accipiter nanus,1BL to 1BT
Accipiter nisus,Accipiter nisus,1BL to 1BT
Accipiter novaehollandiae,Accipiter novaehollandiae,Many BL to 1BT
Accipiter ovampensis,Accipiter ovampensis,1BL to 1BT
Accipiter poliocephalus,Accipiter poliocephalus,1BL to 1BT
Accipiter poliogaster,Accipiter poliogaster,1BL to 1BT
Accipiter princeps,Accipiter princeps,1BL to 1BT
Accipiter rhodogaster,Accipiter rhodogaster,1BL to 1BT
Accipiter rufitorques,Accipiter rufitorques,1BL to 1BT
Accipiter rufiventris,Accipiter rufiventris,1BL to 1BT
Accipiter soloensis,Accipiter soloensis,1BL to 1BT
Accipiter superciliosus,Accipiter superciliosus,1BL to 1BT
Accipiter sylvestris,Accipiter novaehollandiae,Many BL to 1BT
Accipiter tachiro,Accipiter tachiro,1BL to 1BT
Accipiter toussenelii,Accipiter toussenelii,1BL to 1BT
Accipiter trinotatus,Accipiter trinotatus,1BL to 1BT
Accipiter trivirgatus,Accipiter trivirgatus,1BL to 1BT
Accipiter virgatus,Accipiter virgatus,1BL to 1BT
Aceros nipalensis,Aceros nipalensis,1BL to 1BT
Achaetops pycnopygius,Achaetops pycnopygius,1BL to 1BT
Acridotheres albocinctus,Acridotheres albocinctus,1BL to 1BT
Acridotheres burmannicus,Sturnus burmannicus,Many BL to 1BT
Acridotheres cinereus,Acridotheres cinereus,1BL to 1BT
Acridotheres cristatellus,Acridotheres cristatellus,1BL to 1BT
Acridotheres fuscus,Acridotheres fuscus,1BL to 1BT
Acridotheres ginginianus,Acridotheres ginginianus,1BL to 1BT
Acridotheres grandis,Acridotheres grandis,Many BL to 1BT
Acridotheres javanicus,Acridotheres grandis,Many BL to 1BT
Acridotheres leucocephalus,Sturnus burmannicus,Many BL to 1BT
Acridotheres melanopterus,Sturnus melanopterus,1BL to 1BT
Acridotheres tertius,Sturnus burmannicus,Many BL to 1BT
Acridotheres tricolor,Sturnus burmannicus,Many BL to 1BT
Acridotheres tristis,Acridotheres tristis,1BL to 1BT
Acritillas indica,Iole indica,1BL to 1BT
Acrobatornis fonsecai,Acrobatornis fonsecai,1BL to 1BT
Acrocephalus aequinoctialis,Acrocephalus aequinoctialis,1BL to 1BT
Acrocephalus agricola,Acrocephalus agricola,1BL to 1BT
Acrocephalus arundinaceus,Acrocephalus arundinaceus,Many BL to 1BT
Acrocephalus astrolabii,Acrocephalus luscinius,Many BL to 1BT
Acrocephalus atyphus,Acrocephalus atyphus,1BL to 1BT
Acrocephalus australis,Acrocephalus australis,1BL to 1BT
Acrocephalus bistrigiceps,Acrocephalus bistrigiceps,1BL to 1BT
Acrocephalus brevipennis,Acrocephalus brevipennis,1BL to 1BT
Acrocephalus caffer,Acrocephalus caffer,Many BL to 1BT
Acrocephalus concinens,Acrocephalus concinens,1BL to 1BT
Acrocephalus dumetorum,Acrocephalus dumetorum,1BL to 1BT
Acrocephalus familiaris,Acrocephalus familiaris,1BL to 1BT
Acrocephalus gracilirostris,Acrocephalus gracilirostris,1BL to 1BT
Acrocephalus griseldis,Acrocephalus griseldis,1BL to 1BT
Acrocephalus hiwae,Acrocephalus luscinius,Many BL to 1BT
Acrocephalus kerearako,Acrocephalus kerearako,1BL to 1BT
Acrocephalus longirostris,Acrocephalus caffer,Many BL to 1BT
Acrocephalus luscinius,Acrocephalus luscinius,Many BL to 1BT
Acrocephalus melanopogon,Acrocephalus melanopogon,1BL to 1BT
Acrocephalus mendanae,Acrocephalus mendanae,Many BL to 1BT
Acrocephalus musae,Acrocephalus caffer,Many BL to 1BT
Acrocephalus newtoni,Acrocephalus newtoni,1BL to 1BT
Acrocephalus nijoi,Acrocephalus luscinius,Many BL to 1BT
Acrocephalus orientalis,Acrocephalus arundinaceus,Many BL to 1BT
Acrocephalus orinus,Acrocephalus orinus,1BL to 1BT
Acrocephalus paludicola,Acrocephalus paludicola,1BL to 1BT
Acrocephalus palustris,Acrocephalus palustris,1BL to 1BT
Acrocephalus percernis,Acrocephalus mendanae,Many BL to 1BT
Acrocephalus rehsei,Acrocephalus rehsei,1BL to 1BT
Acrocephalus rimitarae,Acrocephalus rimatarae,1BL to 1BT
Acrocephalus rodericanus,Acrocephalus rodericanus,1BL to 1BT
Acrocephalus rufescens,Acrocephalus rufescens,1BL to 1BT
Acrocephalus schoenobaenus,Acrocephalus schoenobaenus,1BL to 1BT
Acrocephalus sechellensis,Acrocephalus sechellensis,1BL to 1BT
Acrocephalus sorghophilus,Acrocephalus sorghophilus,1BL to 1BT
Acrocephalus stentoreus,Acrocephalus stentoreus,1BL to 1BT
Acrocephalus syrinx,Acrocephalus syrinx,1BL to 1BT
Acrocephalus taiti,Acrocephalus taiti,1BL to 1BT
Acrocephalus tangorum,Acrocephalus tangorum,1BL to 1BT
Acrocephalus vaughani,Acrocephalus vaughani,1BL to 1BT
Acrocephalus yamashinae,Acrocephalus luscinius,Many BL to 1BT
Acropternis orthonyx,Acropternis orthonyx,1BL to 1BT
Acryllium vulturinum,Acryllium vulturinum,1BL to 1BT
